"AppName","AppFriendlyName","AppPublisher","ActiveDevices","AppHealthScore","TotalAppUsageDuration","TotalAppCrashes","MeanTimeToFailure"
"CPRSChart.exe","","Department of Veterans Affairs","316743","52.7767951892465","264083053","207774","1271"
"atmgr.exe","AtMgr Module","Cisco Webex LLC","59985","100","542066","51","10628"
"Attachmate.Emulation.Frame.exe","Micro Focus Reflection Desktop","Micro Focus","158093","3.6692759295499","1382028","8262","167"
"POWERPNT.EXE","Microsoft Office","Microsoft Corporation","111520","100","6340655","827","7667"
"On Screen Communications Announcement Receiver.exe","","Region 1 Applications - Field Development","42200","36.0891386689468","1140","15","76"
"conhost.exe","Microsoft® Windows® Operating System","Microsoft Corporation","13543","100","764644","0","2147483647"
"SearchHost.exe","Microsoft® Windows® Operating System","Microsoft Corporation","31952","11.252446183953","140009","434","322"
"Acrobat.exe","Adobe Acrobat","Adobe Systems Incorporated","94739","8.36594911937378","6990002","26486","263"
"SignatureTray.exe","","Taylor Healthcare","18323","0","101498","6693","15"
"wfcrun32.exe","Citrix Workspace","Citrix Systems, Inc.","18716","13.160469667319","29624","82","361"
"WINWORD.EXE","Microsoft Office","Microsoft Corporation","375880","100","42225417","9923","4255"
"UpdaterUI.exe","McAfee Agent","McAfee LLC.","38283","100","172437","0","2147483647"
"WFICA32.EXE","Citrix Workspace","Citrix Systems, Inc.","26987","100","14558710","667","21827"
"CPRSBooster88.exe","","","43701","2.6908023483366","271702","1838","147"
"Microsoft.Notes.exe","Microsoft StickyNotes","Microsoft Corporation","39436","38.1115459882583","1436951","1648","871"
"OneDrive.exe","Microsoft OneDrive","Microsoft Corporation","421510","4.99021526418787","1171022","6013","194"
"CiscoJabber.exe","Cisco Jabber Application","Cisco Systems, Inc","102170","100","4489650","840","5344"
"msedge.exe","Microsoft Edge","Microsoft Corporation","501433","100","266793492","1063","250981"
"ONENOTE.EXE","Microsoft OneNote","Microsoft Corporation","58716","68.7301025822427","4015983","1848","2173"
"CalculatorApp.exe","Microsoft Calculator","Microsoft Corporation","96403","57.9059073222497","963271","617","1561"
"IEXPLORE.EXE","Internet Explorer","Microsoft Corporation","34115","43.0528375733855","3002236","3086","972"
"msedgewebview2.exe","Microsoft Edge WebView2","Microsoft Corporation","514780","100","274005122","872","314226"
"VistaSchedulingGUI.exe","","","64716","21.6731898238748","20044703","37453","535"
"OUTLOOK.EXE","Microsoft Outlook","Microsoft Corporation","485069","100","173058560","23784","7276"
"ms-teams.exe","Microsoft Teams","Microsoft Corporation","509523","56.8093385214008","3092167","2062","1499"
"BCMA.exe","Bar Code Medication Administration","Department Of Veterans Affairs","22011","83.3746020516449","15303341","5098","3001"
"PanGPA.exe","GlobalProtect","Palo Alto Networks","260280","100","310812","73","4257"
"SelfService.exe","Citrix Workspace","Citrix Systems, Inc.","12139","100","375600","45","8346"
"AcroRd32.exe","Adobe Acrobat Reader","Adobe Systems Incorporated","201365","1.41878669275929","5859932","48415","121"
"CPRS_Launcher.exe","","","31576","0","111051","8278","13"
"SnippingTool.exe","","Microsoft Corporation","114348","76.2999646268129","580241","223","2601"
"SHARE.exe","","","11730","9.83365949119374","702077","2396","293"
"acrotray.exe","AcroTray - Adobe Acrobat Distiller helper application.","Adobe Systems Inc.","28883","0","12566","369","34"
"SCClient.exe","Microsoft Endpoint Configuration Manager","Microsoft Corporation","14950","100","152139","34","4474"
"EXCEL.EXE","Microsoft Office","Microsoft Corporation","307764","100","32274779","7183","4493"
"capri.exe","dvba_2_7_240","Department of Veterans Affairs","15835","1.22309197651663","1557977","13257","117"
"StartMenuExperienceHost.exe","Microsoft® Windows® Operating System","Microsoft Corporation","28571","0","12774","1880","6"
"Teams.exe","Microsoft Teams","Microsoft Corporation","38931","0","309143","52796","5"
"dfsvc.exe","Microsoft® .NET Framework","Microsoft Corporation","11857","52.8300391314997","2718","2","1359"
"MagImageDisplay.exe","VistA Integrated Imaging System","Department of Veterans Affairs","88658","56.6501591793421","2050021","1375","1490"
"Receiver.exe","Citrix Workspace","Citrix Systems, Inc.","19091","0","4194","238","17"
"r2win.exe","Reflection for UNIX and OpenVMS","Attachmate Corporation","24578","100","7402880","0","2147483647"
"LogonUI.exe","Microsoft® Windows® Operating System","Microsoft Corporation","524955","100","374347977","0","2147483647"
"NOTEPAD.EXE","Microsoft® Windows® Operating System","Microsoft Corporation","41567","100","2906985","52","55903"
"r2win.exe","Reflection for UNIX and OpenVMS","Micro Focus","130244","100","31809244","6097","5217"
"chrome.exe","Google Chrome","Google LLC","262156","100","110321263","1223","90205"
"SoD.exe","Speech On Demand","Nuance Communications, Inc.","18050","3.18003913894325","536333","3403","157"
"vpnui.exe","Cisco AnyConnect Secure Mobility Client","Cisco Systems, Inc.","304221","59.4623275557128","10374046","6291","1649"
"BESClientUI.exe","BigFix","HCL Technologies Limited","57292","100","1350561","47","28735"
"SCNotification.exe","Microsoft Configuration Manager","Microsoft Corporation","17431","36.692759295499","293282","348","842"
"splwow64.exe","Microsoft® Windows® Operating System","Microsoft Corporation","44628","0","85282","9906","8"
"BlackBerryAtHocNotifier.exe","BlackBerry AtHoc Desktop Notifier","","77115","64.2907675981606","71128","37","1922"
"LynxClientUICore.exe","LynxClientUICore","MicroTechnology Services","230478","100","1263358","146","8653"
"UpdaterUI.exe","Trellix Agent","Musarubra US LLC.","173672","100","938985","0","2147483647"
"Bginfo64.exe","BGInfo","Sysinternals - www.sysinternals.com","354182","0","2082032","52810","39"
